region	organisationalform	subregion	country	sizeclass	generalfarmtype	principalfarmtype	farmcode	system	organicfarming	lessfavouredarea	altitudezone	structuralfunds	environmentalconstraintsarea	year	economicsize	uaaunderirrigation	commonageuaa	uaainowneroccupation	uaainsharecropping	totallabourinputawu	labourinputhours	unpaidlabourinputhours	paidlabourinputhours	totaluaa	renteduaa	cerealsuaa	otherfieldcropsuaa	energycropsuaa	vegetablesandflowersuaa	vineyardsuaa	permanentcropsuaa	orchardsuaa	olivegrovesuaa	otherpermanentcropsuaa	foragecropsuaa	agriculturalfallowsuaa	setasideuaa	woodlandarea	totallivestockunits	dairycowslus	othercattlelus	sheepandgoatslus	pigslus	poultrylus	wheatyield	maizeyield	stockingdensity	foragearea	grazinglivestock	milkyield	dairycows	dairyproducts	totaloutput	totaloutputcrops	cerealsvalue	proteincropsvalue	energycropsvalue	potatoesvalue	sugarbeetvalue	oilseedrapevalue	industrialcropsvalue	vegetablesandflowersvalue	fruitvalue	citrusfruitvalue	wineandgrapesvalue	olivesandoliveoilvalue	foragecropsvalue	othercropoutputvalue	totaloutputlivestock	changesinvalueoflivestock	cowsmilkandmilkproducts	beefandveal	pigmeat	sheepandgoats	poultrymeat	eggs	ewesandgoatsmilk	otherlivestockandproducts	otheroutput	totalinputs	totalintermediateconsumption	totalspecificcosts	seedsandplants	seedsandplantshomegrown	fertilisers	cropprotection	othercropspecific	feedforgrazinglivestock	feedforgrazinglivestockhomegrown	feedforpigspoultry	feedforpigspoultryhomegrown	otherlivestockspecificcosts	forestryspecificcosts	totalfarmingoverheads	machininerybuildingcurrentcosts	energy	contractwork	otherdirectinputs	depreciation	totalexternalfactors	wagespaid	rentpaid	interestpaid	taxes	vatbalanceexclinvest	balancesubsidiestaxesinvest	subsidiesoninvest	paymentstodairyoutgoers	vatoninvest	grossfarmincome	farmnetvalueadded	familyfarmincome	farmnetvalueaddedawu	awu	farmnetvalueaddedn	familyfarmincomefwu	fwu	familyfarmincomen	totalassets	totalfixedassets	landpermananentcropsquotas	buildings	machinery	breedinglivestock	totalcurrentassets	nonbreedinglivestock	stockofagriculturalproducts	othercirculatingcapital	totalliabilities	longmediumtermloans	shorttermloans	networth	changeinnetworth	averagefarmcapital	grossinvestment	netinvestment	cashflow1	cashflow2	balancecurrentsubsidiestaxes	totalsubsidiesexcludingoninvestm	totalsubsidiesoncrops	compensatorypaymentsareapayments	setasidepremiums	othercropssubsidies	totalsubsidiesonlivestock	subsidiesdairying	subsidiesothercattle	subsidiessheepgoats	otherlivestocksubsidies	othersubsidies	environmentalsubsidies	lfasubsidies	otherruraldevelopmentpayments	subsidiesonintermediateconsumpti	subsidiesonexternalfactors	decoupledpayments	singlefarmpayment	singleareapayment	additionalaid	farmsrepresented	samplefarms	exchangerate
441		1	"UKI"	4	4	42	216071	4210		2	2	2		1999	8773	0	0	65	0	.9561688	2117	2080	37	65.8	.8	0	0		0	0	0	0	0	0	65.8	0	0	0	22.97	0	21.24	1.73	0	0	0	0	.3490881	65.8	22.97	0	0	0	6224.933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6224.933	-2205.502	0	6032.696	0	192.2361	0	0	0	0	0	29065.5	12885.5	5063.213	0	0	2073.565	108.3206	0	2150.937	0	0	0	730.3901	0	7822.292	2403.169	1316.869	2228.309	1873.946	12390.33	3789.672	255.3271	232.1155	3302.23	383.7643	0	0	0	0	0	3086.731	-9303.595	-13093.27	-9730.074	.9561688	-9303.595	-13929.01	.94	-13093.27	373648.7	366956	331586.3	1.547437	20822.31	14545.9	6692.664	4371.509	1856.924	464.231	28163.35	1.547437	28163.35	345485.3	1287.467	40012.84	16008.09	3617.762	1502.561	-13804.68	9747.304	10131.07	0	0	0	0	8249.385	0	5524.349	0	2725.036	1881.683	792.2876	0	0	0	0	0	0	0	0	473.3333	1	.64623
441		1	"UKI"	8	4	44	216115	4420		2	1	2		1999	95712	0	0	175.3	0	2.779058	7753	7000	753	291.1	115.8	0	0		0	0	0	0	0	0	291.1	0	0	0	233.22	0	157.75	75.47	0	0	0	0	.801168	291.1	233.22	0	0	0	46802.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46802.01	5248.69	0	18293.88	0	27533.25	0	0	0	974.8851	0	122628.2	84257.93	53796.64	0	0	10400.32	309.4873	232.1155	28715.78	0	0	0	14138.93	0	30461.29	9860.267	5991.675	6777.772	7831.577	19421.88	18948.36	5152.964	11915.26	1880.135	1706.823	0	12633.27	12633.27	0	0	60405.52	40983.64	34668.55	14747.32	2.779058	40983.64	14150.43	2.45	34668.55	1043444	962203.9	796889.6	1.547437	26198.1	139114.6	81240.42	68087.21	12998.47	154.7437	27080.14	1.547437	27080.14	1016364	-9309.379	246703.2	44444.83	25022.95	48841.74	32650.91	97861.45	99568.27	0	0	0	0	89082.84	0	36643.3	28824.1	23615.43	10485.43	10485.43	0	0	0	0	0	0	0	0	23.63636	1	.64623
441		1	"UKI"	8	4	41	216138	4110		2	1	2		1999	76977	0	0	30.4	0	1.954858	4614	4580	34	34.4	4	0	0		0	0	0	0	0	0	34.4	0	0	0	71.3	70.3	1	0	0	0	0	0	2.072675	34.4	71.3	6337.126	70.3	445500	121639.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121639.2	-1693.095	119369.3	2269.89	0	0	0	0	0	0	0	86628.6	53171.47	38169.07	0	0	6443.526	185.6924	108.3206	23149.65	827.8786	0	0	8281.881	0	15002.4	3757.176	3535.893	4472.092	3237.238	11511.38	21945.75	232.1155	8743.018	12970.61	382.2169	0	0	0	0	0	68085.47	56574.09	34628.34	28940.26	1.954858	56574.09	17849.66	1.94	34628.34	613886.7	612393.4	558335.3	1.547437	6705.043	47351.56	1493.276	1160.578	0	332.6989	99809.66	1.547437	99809.66	514077	104252.4	57228.08	24274.26	12762.88	47634.74	-69970.45	-382.2169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.07965	1	.64623
441		1	"UKI"	7	8	81	216150	8140		2	1	2		1999	41518	0	0	50	0	2.043954	5415	5200	215	94.7	44.7	8.1	4.8		0	0	0	0	0	0	81.8	0	0	0	103.71	0	103.71	0	0	0	0	0	1.267848	81.8	103.71	0	0	0	52255.29	21107.04	4363.771	0	0	11296.29	0	0	0	0	0	0	0	0	2955.604	2491.373	31148.25	-6869.176	0	31148.25	0	0	0	0	0	0	0	75168.28	43849.71	28879.81	2893.707	0	8037.386	2816.335	606.5952	6223.79	4301.874	0	0	8301.998	0	14969.9	6052.025	2582.672	3271.281	3063.925	9806.106	21512.46	1473.16	15830.28	4209.028	247.5899	0	0	0	0	0	43889.84	34083.73	12571.27	16675.39	2.043954	34083.73	6446.806	1.95	12571.27	628879.8	575852.3	534060.6	1.547437	16721.6	25068.47	53027.56	48357.39	2847.283	1822.88	54547.14	1.547437	54547.14	574332.7	-5686.83	94728.66	10712.1	905.9966	26909.92	19946.46	35484.27	35731.86	3283.661	3283.661	0	0	32448.2	0	30404.04	0	2044.164	0	0	0	0	0	0	0	0	0	0	37.14286	1	.64623
441		1	"UKI"	8	4	44	216271	4410		2	1	2		1999	79042	0	0	802	0	1.185286	3284	2860	424	882.2	80.2	0	0		0	0	0	0	0	0	882.2	0	0	0	175.59	0	64.72	110.87	0	0	0	0	.1990365	882.2	175.59	0	0	0	18415.97	154.7437	0	0	0	0	0	0	0	0	0	0	0	0	154.7437	0	18169.93	-1700.707	0	8636.465	0	8253.732	0	0	0	1279.73	91.29877	71409.56	43339.06	23307.49	324.9617	0	5193.197	626.7119	349.7207	11266.89	0	0	0	5546.013	0	20031.57	5819.909	6558.037	3695.279	3958.343	17458.18	10612.32	2898.349	6127.849	1586.123	553.9823	0	4764.558	4764.558	0	0	42340.89	24882.71	19034.94	20992.99	1.185286	24882.71	19034.94	1	19034.94	863807	826643.8	713796.9	1.547437	22861.83	89983.45	37163.24	30509.26	6499.234	154.7437	8975.133	1.547437	8975.133	854831.9	13176.42	144634.3	31523.31	14065.13	38039.09	1494.824	67263.98	67817.96	0	0	0	0	65866.64	0	17708.87	30196.68	17961.1	1951.318	0	0	0	0	0	0	0	0	0	40	1	.64623
441		1	"UKI"	8	4	41	216295	4110		2	1	2		1999	50222	0	0	33	0	1.176394	2585	2250	335	46	13	0	0		0	0	0	0	0	0	46	0	0	0	72.32	41.7	30.62	0	0	0	0	0	1.572174	46	72.32	5071.942	41.7	211500	58822.72	-928.462	0	0	0	0	0	0	0	0	0	0	0	0	-928.462	0	59642.86	-6288.772	56492.27	3150.592	0	0	0	0	0	0	108.3206	68173.87	44196.34	26448.79	0	0	5131.3	162.4809	177.9552	16415.21	1101.775	0	0	4561.843	0	17747.55	6575.059	2771.459	4521.61	3879.424	15392.35	8585.179	2288.659	4766.105	1530.415	423.9977	0	0	0	0	0	15740.54	348.1842	-8236.994	295.9759	1.176394	348.1842	-7997.082	1.03	-8236.994	582011.1	571477.6	507878	1.547437	25299.04	38299.06	10533.4	10213.08	0	320.3194	0	1.547437	0	582011.1	-57753.43	82107.77	-69019.52	-84411.87	14174.52	47968.99	1114.154	1538.152	0	0	0	0	0	0	0	0	0	1538.152	0	0	0	0	0	0	0	0	0	27.07965	1	.64623
441		1	"UKI"	8	4	41	216300	4110		1	1	2		1999	75108	0	0	37.4	0	1.645388	3930	3460	470	48.7	11.3	0	0		0	0	0	0	0	0	48.7	0	0	0	99.84	60.3	32.82	6.72	0	0	0	0	2.050103	48.7	99.84	5384.743	60.3	324700	116603.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116603.3	1139.811	92869.41	18763.83	0	4838.57	0	0	0	131.5321	0	87495.16	59229.69	39762.93	309.4873	0	6688.021	317.2245	1089.395	20904.32	1179.147	0	0	10454.48	0	19466.75	5963.821	3059.282	6004.054	4439.596	14671.25	13594.23	3214.026	7350.324	3029.881	244.495	0	7477.214	7477.214	0	0	60318.43	45647.18	39530.17	27742.5	1.645388	45647.18	27451.5	1.44	39530.17	647045.2	629345.6	541952.6	1.547437	29826.84	57564.64	17699.58	11868.84	5570.772	259.9694	34469.15	1.547437	34469.15	612576	12247.96	106251.6	33122.66	18451.41	52814.01	19014.9	2944.772	3189.267	0	0	0	0	3189.267	0	1886.325	1302.942	0	0	0	0	0	0	0	0	0	0	0	27.07965	1	.64623
441		1	"UKI"	6	4	42	216303	4210		2	1	2		1999	18380	0	0	33.4	0	1.930976	5048	5000	48	38.4	5	0	0		0	0	0	0	0	0	38.4	0	0	0	63.48	0	63.48	0	0	0	0	0	1.653125	38.4	63.48	0	0	0	11594.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11594.49	7988.965	0	11594.49	0	0	0	0	0	0	0	31976.23	19157.27	9159.277	54.16028	0	2469.709	232.1155	100.5834	4543.274	0	0	0	1759.436	0	9997.988	3819.074	3104.158	533.8657	2540.891	10327.59	2491.373	324.9617	2166.411	0	354.363	0	0	0	0	0	8607.939	-1719.653	-4211.026	-890.5616	1.930976	-1719.653	-2204.726	1.91	-4211.026	452732	425204.7	379773.5	1.547437	19974.31	25455.33	27527.35	23559.72	3713.848	253.7796	0	1.547437	0	452732	3953.7	71463.72	8211.671	-2115.921	-1872.398	-7675.286	16170.71	16525.08	0	0	0	0	16525.08	0	14708.39	0	1816.691	0	0	0	0	0	0	0	0	0	0	113.75	1	.64623
441		1	"UKI"	6	7	72	216308	7220		2	1	2		1999	15448	0	0	17.1	0	1.005244	2512	2500	12	17.1	0	0	0		0	0	0	0	0	0	17.1	0	0	2.6	62.1017	0	10.29	7.09	44.7217	0	0	0	1.016374	17.1	17.38	0	0	0	37107.26	3373.412	0	0	0	0	0	0	0	0	0	0	0	0	3373.412	0	33733.85	2336.358	0	2127.288	27631.28	3842.198	0	0	0	133.0796	0	37723.41	33393.68	27012.05	185.6924	0	1242.592	89.75133	72.72952	1030.593	0	23124.89	0	1265.803	0	6381.629	773.7183	1518.035	1415.905	2673.97	4249.261	80.46671	80.46671	0	0	394.5963	0	0	0	0	0	5590.617	1341.356	1260.89	1334.359	1.005244	1341.356	1260.89	1	1260.89	268153.8	252083.6	232739.1	1.547437	13230.58	6112.375	16070.13	15605.9	278.5386	185.6924	0	1.547437	0	268153.8	-2070.471	36182.94	360.7192	-3888.542	2895.254	2690.992	1877.041	2271.637	0	0	0	0	2271.637	0	557.0772	1372.576	341.9835	0	0	0	0	0	0	0	0	0	0	65	1	.64623
441		1	"UKI"	7	4	44	216426	4410		2	1	2		1999	37516	0	0	69.5	0	1.109249	3370	3120	250	76	6.5	0	0		0	0	0	0	0	0	76	0	0	0	78.71	0	32.38	46.33	0	0	0	0	1.035658	76	78.71	0	0	0	6170.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6170.975	-11339.82	0	957.4919	0	4705.923	0	0	0	507.5592	0	34840.54	25514.14	11772.9	0	0	3218.668	0	154.7437	4629.931	0	0	0	3769.556	0	13741.24	5066.308	2820.977	2483.636	3370.317	4376.151	4950.25	1706.823	1856.924	1386.503	317.2245	0	0	0	0	0	15124.44	10748.29	5798.042	9689.702	1.109249	10748.29	5798.042	1	5798.042	359361.2	350308.7	305843.1	1.547437	2683.255	41780.79	9052.505	6112.375	2785.386	154.7437	17207.5	1.547437	17207.5	342153.7	-15983.47	59468.77	-8721.749	-13097.9	21514.01	21931.82	34467.61	34784.83	0	0	0	0	28197.39	0	8580.536	10486.98	9129.876	6587.438	6587.438	0	0	0	0	0	0	0	0	50	1	.64623
